"Name","Damage1","Damage2","Damage3","Damage4","Damage5","Damage6","Damage7","Damage8","Damage9","Damage10","Damage11","Damage12","Damage13","Damage14","Damage15","Damage16","Damage17"
"160","Feraligatr","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"161","Sentret","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"162","Furret","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"163","Hoothoot","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"164","Noctowl","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"165","Ledyba","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"166","Ledian","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"167","Spinarak","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"168","Ariados","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"169","Crobat","1","1","1","2","0.25","2","0.25","0.5","0","1","2","0.25","2","1","1","1","1"
"170","Chinchou","1","0.5","0.5","1","2","0.5","1","1","2","0.5","1","1","1","1","1","1","0.25"
"171","Lanturn","1","0.5","0.5","1","2","0.5","1","1","2","0.5","1","1","1","1","1","1","0.25"
"172","Pichu","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"173","Cleffa","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"174","Igglybuff","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"175","Togepi","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"176","Togetic","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"177","Natu","1","1","1","2","0.5","2","0.25","1","0","1","0.5","1","2","2","1","2","1"
"178","Xatu","1","1","1","2","0.5","2","0.25","1","0","1","0.5","1","2","2","1","2","1"
"179","Mareep","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"180","Flaaffy","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"181","Ampharos","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"182","Bellossom","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"183","Marill","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"184","Azumarill","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"185","Sudowoodo","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"186","Politoed","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"187","Hoppip","1","2","0.5","1","0.25","4","0.5","2","0","2","1","1","2","1","1","1","1"
"188","Skiploom","1","2","0.5","1","0.25","4","0.5","2","0","2","1","1","2","1","1","1","1"
"189","Jumpluff","1","2","0.5","1","0.25","4","0.5","2","0","2","1","1","2","1","1","1","1"
"190","Aipom","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"191","Sunkern","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"192","Sunflora","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"193","Yanma","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"194","Wooper","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"195","Quagsire","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"196","Espeon","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"197","Umbreon","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"198","Murkrow","1","1","1","2","0.5","2","1","1","0","1","0","1","2","0.5","1","0.5","1"
"199","Slowking","1","0.5","0.5","2","2","0.5","0.5","1","1","1","0.5","2","1","2","1","2","0.5"
"200","Misdreavus","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"201","Unown","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"202","Wobbuffet","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"203","Girafarig","1","1","1","1","1","1","1","1","1","1","0.5","2","1","0","1","2","1"
"204","Pineco","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"205","Forretress","0.5","4","1","1","0.25","0.5","1","0","1","1","0.5","0.5","1","0.5","0.5","0.5","0.5"
"206","Dunsparce","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"207","Gligar","1","1","2","0","1","4","0.5","0.5","0","1","1","0.5","1","1","1","1","1"
"208","Steelix","0.5","2","2","0","1","1","2","0","2","0.5","0.5","0.5","0.25","0.5","0.5","0.5","0.5"
"209","Snubbull","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"210","Granbull","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"211","Qwilfish","1","0.5","0.5","2","1","0.5","0.5","0.5","2","1","2","0.5","1","1","1","1","0.5"
"212","Scizor","0.5","4","1","1","0.25","0.5","1","0","1","1","0.5","0.5","1","0.5","0.5","0.5","0.5"
"213","Shuckle","0.5","1","2","1","1","1","1","0.5","1","1","1","1","2","1","1","1","2"
"214","Heracross","1","2","1","1","0.5","1","0.5","1","0.5","4","2","0.5","1","1","1","0.5","1"
"215","Sneasel","1","2","1","1","1","0.5","4","1","1","1","0","2","2","0.5","1","0.5","2"
"216","Teddiursa","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"217","Ursaring","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"218","Slugma","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"219","Magcargo","0.5","0.25","4","1","1","0.5","2","0.5","4","0.5","1","0.5","2","1","1","1","1"
"220","Swinub","1","2","2","0","2","1","2","0.5","1","1","1","1","1","1","1","1","2"
"221","Piloswine","1","2","2","0","2","1","2","0.5","1","1","1","1","1","1","1","1","2"
"222","Corsola","0.5","0.25","1","2","4","0.5","2","0.5","2","0.5","1","1","1","1","1","1","1"
"223","Remoraid","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"224","Octillery","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"225","Delibird","1","2","1","2","0.5","1","1","1","0","1","1","0.5","4","1","1","1","2"
"226","Mantine","1","0.5","0.5","4","1","1","0.5","1","0","1","1","0.5","2","1","1","1","0.5"
"227","Skarmory","0.5","2","1","2","0.25","1","1","0","0","0.5","0.5","0.25","1","0.5","0.5","0.5","0.5"
"228","Houndour","1","0.5","2","1","0.5","0.5","2","1","2","1","0","1","2","0.5","1","0.5","0.5"
"229","Houndoom","1","0.5","2","1","0.5","0.5","2","1","2","1","0","1","2","0.5","1","0.5","0.5"
"230","Kingdra","1","0.25","0.25","1","1","1","1","1","1","1","1","1","1","1","2","1","0.5"
"231","Phanpy","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"232","Donphan","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"233","Porygon2","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"234","Stantler","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"235","Smeargle","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"236","Tyrogue","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"237","Hitmontop","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"238","Smoochum","1","2","1","1","1","0.5","1","1","1","1","0.5","2","2","2","1","2","2"
"239","Elekid","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"240","Magby","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"241","Miltank","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"242","Blissey","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"243","Raikou","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"244","Entei","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"245","Suicune","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"246","Larvitar","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"247","Pupitar","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"248","Tyranitar","0.5","0.5","2","1","2","1","4","0.5","2","0.5","0","2","1","0.5","1","0.5","2"
"249","Lugia","1","1","1","2","0.5","2","0.25","1","0","1","0.5","1","2","2","1","2","1"
"250","Ho-Oh","1","0.5","2","2","0.25","1","0.5","1","0","1","1","0.25","4","1","1","1","0.5"
"251","Celebi","1","2","0.5","0.5","0.5","2","0.5","2","0.5","2","0.5","4","1","2","1","2","1"
"252","Treecko","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"253","Grovyle","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"254","Sceptile","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"255","Torchic","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"256","Combusken","1","0.5","2","1","0.5","0.5","1","1","2","2","2","0.25","1","1","1","0.5","0.5"
"257","Blaziken","1","0.5","2","1","0.5","0.5","1","1","2","2","2","0.25","1","1","1","0.5","0.5"
"258","Mudkip","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"259","Marshtomp","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"260","Swampert","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"261","Poochyena","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"262","Mightyena","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"263","Zigzagoon","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"264","Linoone","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"265","Wurmple","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"266","Silcoon","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"267","Beautifly","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"268","Cascoon","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"269","Dustox","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"270","Lotad","1","1","0.25","1","1","1","1","2","0.5","2","1","2","1","1","1","1","0.5"
"271","Lombre","1","1","0.25","1","1","1","1","2","0.5","2","1","2","1","1","1","1","0.5"
"272","Ludicolo","1","1","0.25","1","1","1","1","2","0.5","2","1","2","1","1","1","1","0.5"
"273","Seedot","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
