"Number","Name","Type"
"497","Shadow Punch","Ghost"
"498","Shadow Sneak","Ghost"
"499","Spite","Ghost"
"500","Draco Meteor","Dragon"
"501","Dragon Claw","Dragon"
"502","Dragon Dance","Dragon"
"503","Dragon Pulse","Dragon"
"504","Dragon Rage","Dragon"
"505","Dragon Rush","Dragon"
"506","Dragon Tail","Dragon"
"507","Dragonbreath","Dragon"
"508","Dual Chop","Dragon"
"509","Outrage","Dragon"
"510","Rooar Of Time","Dragon"
"511","Spacial Rend","Dragon"
"512","Twister","Dragon"
"513","Assurance","Dark"
"514","Beat Up","Dark"
"515","Bite","Dark"
"516","Crunch","Dark"
"517","Dark Pulse","Dark"
"518","Dark Void","Dark"
"519","Embargo","Dark"
"520","Faint Attack","Dark"
"521","Fake Tears","Dark"
"522","Flatter","Dark"
"523","Fling","Dark"
"524","Foul Play","Dark"
"525","Hone Claws","Dark"
"526","Knock Off","Dark"
"527","Memento","Dark"
"528","Nasty Plot","Dark"
"529","Night Daze","Dark"
"530","Night Slash","Dark"
"531","Payback","Dark"
"532","Punishment","Dark"
"533","Pursuit","Dark"
"534","Quash","Dark"
"535","Snarl","Dark"
"536","Snatch","Dark"
"537","Sucker Punch","Dark"
"538","Switcheroo","Dark"
"539","Taunt","Dark"
"540","Thief","Dark"
"541","Torment","Dark"
"542","Autotomize","Steel"
"543","Bullet Punch","Steel"
"544","Doom Desire","Steel"
"545","Flash Cannon","Steel"
"546","Gear Grind","Steel"
"547","Gyro Ball","Steel"
"548","Heavy Slam","Steel"
"549","Iron Defense","Steel"
"550","Iron Head","Steel"
"551","Iron Tail","Steel"
"552","Magnet Bomb","Steel"
"553","Metal Burst","Steel"
"554","Metal Claw","Steel"
"555","Metal Sound","Steel"
"556","Meteor Mash","Steel"
"557","Mirror Shot","Steel"
"558","Shift Gear","Steel"
"559","Steel Wing","Steel"
